,Unnamed: 0,clean_post,source
182,185,صباح الخيرعليكم يا أحبابيو أحباب البهجة الدزايروالقصبة العالية . نهاركم مبروكإن شاء اللهو جمعة مباركةعلى الجميع . N'oubliez pasnotre عرس القاعة à la Casbahpour le 8 Mars inchallah merhba mesdames .  . Plus Pour réservéil suffit d'envoyer les noms des participants par SMSau numéro0556 68 92 48 et vous recevrez un SMS de confirmationavec l'heureet l'endroitdu regroupement . Credit photo: قفة البحري .  .  كنزة .  جولة_عاصمية, HABIB ADVENTURE 
183,186,"مساء الخيرأحبابيو أحباب القصبةو الدزاير . ماتنساوشظهوري على الساعة 18:30 على قناة المعرفةفي، حصة""Tell me about"" .  . N'oubliezpas mon passagea l'emission ""Tell me about""sur canal el maarifade l'entv a 18:30h .  kenza .  Djawla_3assimiya .  . ‎Télévision Algérienne   المؤسسة العمومية للتلفزيون الجزائري‎ . Média contrôlé par l’État dans le pays suivant : Algérie . · 3 mars, 16:23 ·", HABIB ADVENTURE 
184,187,"Bonjourmes chers amis  djawlistes, j'espèreque vous allez bien?? .  . Retrouvez moi demain, dans l'émission ""TELL ME ABOUT"" à 18:30hsur la chainecanal el maarifa de l'ENTV les fréquencessont : NilesatPlus fréquence 11679 H DVB – S 27500 .  . موعدناغدا إن شاء الله على الساعة 18:30على قناةالمعرفة التابعة لقناة التلفزة الجزائرية في حصة ""TELL ME ABOUT"" .  . Stay tunedmy friends .  .  kenza .  djawla_3assimiya", HABIB ADVENTURE 
185,188,"Bonjourmes très chers amis  Djawlistesj'espère Que Vous allez bien.. .  . On partage avec vous les photosde notre maaaagnifiiique visitenocturnede la Casbah, une visite découvertede la  Casbah, histoirePlus, rires, rencontres avec nos amiset un dinerchez khalti fatihaaaaune rechtamagnifiquement bonnecomme à son Habittude au Top .  . Si vous souhaitez être parmi nous pour vivre de nouvellesaventurestoujours plus bellesavec Djawla 3assimiya, Nos visites guidéessont disponibles les jours de semaineaussi..pour toute réservationou informations, il suffit d'appelerle numéro0556 68 92 48 merhba .  .  Djawla_3assimiya .  kenzA", HABIB ADVENTURE 
186,189,"Bonsoirmes très chers amis  Djawlistesj'espère Que Vous allez bien.. .  . On partage avec vous les photosde notre maaaagnifiiique visite, à la découvertede la  Casbah, histoire, rires, ambiance,Plus rencontres avec nos amies et un déjeuner Poisson, Kebda..chez notre ami Badis au Top .  . Si vous souhaitez être parmi nous pour vivre de nouvellesaventurestoujours plus bellesavec Djawla 3assimiya, Nos visites guidéessont disponibles les jours de semaineaussi..pour toute réservationou informations, il suffit d'appelerle numéro0556 68 92 48 merhba .  .  Djawla_3assimiya .  kenzA", HABIB ADVENTURE 
187,190,"صباحكم بلخيريا أحبابيو أحباب جولة عاصمية و القصبةكيفاش راكم؟؟ داق خاطركم شوية؟؟ راني جيتكم بالجديد... .  . À l'occasionde la journée de la femme, Djawla 3assimiya a la joieet le plaisirde vous inviterPlusa célébrer... . عرس القاعة . Qui Aura Lieule Mardi 08 Mars à 14hà la Casbah . Pour toutes réservationsveuillezappeler le 0556 68 92 48. .  . Merhba bikoummesdameset mesdemoiselles .  Djawla_3assimiya .  Kenza .  . MAR., 8 MARS . عرس القاعة مع جولة عاصمية بمناسبة يوم المرأة", HABIB ADVENTURE 
188,191,"صباح الخيرو الرباحعليكم يا أحبابيو أحباب جولة عاصمية .  . نهاركم مبروكو جمعة مباركةإن شاء الله .  كنزة .  جولة_عاصمية . Photo crédit: tableauau musée de la Calligraphie ""قعدة عاصمية"" zineb Bahri", HABIB ADVENTURE 
189,192,"Bonsoirmes très chers amis  Djawlistesj'espère Que Vous allez bien.. .  . On partage avec vous les photosde noz maaaagnifiiiques visites, des visites découvertede la  Casbah, histoire, rires, ambiancePlus, rencontres avec nos amis une belle et grande familleet un déjeuner Poisson, Kebda..kheletnahacomme d'Habittude chez notre ami Badis au Top .  . Si vous souhaitez être parmi nous pour vivre de nouvellesaventurestoujours plus bellesavec Djawla 3assimiya, Nos visites guidéessont disponibles les jours de semaineaussi..pour toute réservationou informations, il suffit d'appelerle numéro0556 68 92 48 merhba .  .  Djawla_3assimiya .  kenzA", HABIB ADVENTURE 
190,193,يا قصبتييا جميلتي، بحلوك و مرك، و في كل أحوالك⏳....أهواك .  . اليوم الوطنيللقصبة 22 فيفري 2022 .  . Journée Nationalede la Casbah23 Février 2022 .  . CasbahNational Day22nd February 2022 .  .  djawla_3assimiya .  kenza, HABIB ADVENTURE 
191,194,"Bonsoirmes très chers amis  Djawlistesj'espère Que Vous allez bien.. .  . On partage avec vous les photosde notre maaaagnifiiique visiteavec les gateaux(helwet tabaa)de Bahiaune visite 98% féminine,Plus pleine de découverte, d'histoire, rires, ambiance, et de rencontres avec nos nouveaux amismerhba.. .  . Si vous souhaitez être parmi nous pour vivre de nouvellesaventurestoujours plus bellesavec Djawla 3assimiyarestez branchersur notre page pour recevoir nos événements .  . Pour toute réservationou informations, il suffit d'appelerle numéro0556 68 92 48 .  .  bienvenu .  djawla_3assimiya .  kenzA", HABIB ADVENTURE 
192,195,صباح الخيرعليكم يا أحبابيو أحباب البهجة الدزايروالقصبة العالية . نهاركم مبروكإن شاء اللهو جمعة مباركةعلى الجميع . N'oubliez pasnotre visite guidéede la Casbahpour samedi 19 Février inchallah merhba .  . Plus Pour réservéil suffit d'envoyer les noms des participants par SMSau numéro0556 68 92 48 et vous recevrez un SMS de confirmationavec l'heureet l'endroitdu regroupement .  .  كنزة .  جولة_عاصمية, HABIB ADVENTURE 
193,196,صباح الخيرعليكم يا أحبابيو أحباب البهجة الدزايروالقصبة العالية . نهاركم مبروكإن شاء الله . N'oubliez pasnotre visite guidéede la Casbahpour samedi 19 Février inchallah merhba .  . Pour réservéil suffitPlus d'envoyer les noms des participants par SMSau numéro0556 68 92 48 et vous recevrez un SMS de confirmationavec l'heureet l'endroitdu regroupement .  .  كنزة .  جولة_عاصمية, HABIB ADVENTURE 
194,197,"مساكم بلخيريا أحبابيو أحباب جولة عاصمية و القصبةكيفاش راكم؟ .  . À l'occasionde la journée de la femme, Djawla 3assimiya a la joieet le plaisirde vous invitera célébrer... . Plus عرس القاعة . Qui Aura Lieule Mardi 08 Mars à 14hà la Casbah . Pour toutes réservations veuillez appeler le 0556 68 92 48, les places sont limitées n'attendez pas la dernière minute svp .  . Merhba bikoummesdameset mesdemoiselles .  Djawla_3assimiya .  Kenza", HABIB ADVENTURE 
195,198,"Bonsoirmes très cheramis Djawlistes.. .  . On vous donne rendez vousce samedi 19 Févrierinchallahpour une visite guidéedela Casbah .  . Pour réservéil suffit juste d'appeler le numéro0556 68 92 48 .  . Merhba bikoum inchallah .  .  kenzA .  djawla_3assimiya .  . SAM., 19 FÉVR. . Visite Guidée de la Casbah avec Djawla 3assimiya", HABIB ADVENTURE 
196,199,"Bonsoirmes très chers amis  Djawlistesj'espère Que Vous allez bien.. .  . On partage avec vous les photosde noz maaaagnifiiiques visites, des visites découvertede la  Casbah, histoire, rires, ambiancePlus, rencontres avec nos amis une belle et grande familleet un déjeuner Poisson, Kebda..kheletnahacomme d'Habittude chez notre ami Badis au Top .  . Si vous souhaitez être parmi nous pour vivre de nouvellesaventurestoujours plus bellesavec Djawla 3assimiya, Nos visites guidéessont disponibles les jours de semaineaussi..pour toute réservationou informations, il suffit d'appelerle numéro0556 68 92 48 merhba .  .  Djawla_3assimiya .  kenzA", HABIB ADVENTURE 
197,200,"عرس القاعة .  . من بين الأعراسالغريبة التي كانت متداولة في كل من قصبة العاصمة، البليدة، سطواليوالتي لم يبق منها الآن سوى اسمها هي''عرس الريح أو القاعة'' ويعود أصل التسمية إلى أن في الجزائر القديمةوفي بعض المناطق المذكورة كانت المرأةالمدعوةإلى فرحسواء كان حفل زفافأو ختانأو عقيقة، تمنح صاحبة العرس مبلغا ماليامعينا يسمى آنذاك ب ''التاوسة''. حيث كانت أم العروسأو الختان أو من يمثلها تقف عند عتبة البابيوم الفرحوتقوم بتسجيلأسماء اللواتي لبين دعوة الحضور و أمام كل اسم يدون الغلاف الماليالذي قامت تلك المدعوة بدفعه لصاحبة الفرح، تفعل ذلك بدافع استرجاع أموالها التي قامت هي بدفعها في الأعراسو في مناسبات اجتماعيةأخرى . و يفترض على المرأة المدينةأن تعطي لدائنتها مبلغا ماليايفوق ذلك المبلغ الذي منحتها إياه في يوم ما، وإن حدث ودفعت مالاأقلمن القدر المعلوم أو يساويه(=)فقد أعلنت عن انقطاعالتواصلفيما بينهما. . وهناك نسوةذهبن إلى الأفراح وقدمن ''التاوسة''وهن ليسلهن أولاد للزفافأو الختانأي عاقر، ففي هذه الحالة يقمن بتحضير لوازم الفرحمن حلوياتومشروباتوجلب مغنيات''لمسمعات''لإسترجاع أموالهن، وتكون هذه العرسبيضاء لاطفل للختانولا عريسأو عروسةمن هنا جاءت أصل تسمية''عرس الريح أو القاعة'' أي لا شيء. . Le mariage du vide . Cette fête pratiquer par nos aïeux consiste en.. . Quand une femme mariait son fils, fille, ou bien une circoncision, cette derrière invitait ces voisines, amies, femmes de la famille..et le jour venu de la fête elle se mettait a la porte pour accueillir ces convives une liste a la main de celle qui sont venu et de combien lui ont elles donner d'argent ""la tawssa"". . Et si une femme n'avait ni fils ni fille a marier, ni nouveau né etc...elle organisait une fête avec tout ce qui se rapporte au mariage de gâteaux, musique et tenues..elle invite a son tour toutes les femmes chez qui elle est parti et donner de l'argent..le jour venu elle se mettait a la porte pour accueillir ses invitées, ces dernières lui rendent ce qu'elle leur avait donner comme argent pour leur fête et rajoutent un petit qlqch, car si elles lui rendent uniquement ce qu'elle leur avait donner cela voulait dire qu'à partir de ce jour elles n'aurait plus rien a faire l'une avec l'autre. Ceci est l'explication du""mariage du vide"" .  جولة_عاصمية .  كنزة", HABIB ADVENTURE 
198,201,"مساكم بلخيريا أحبابيو أحباب جولة عاصمية و القصبةكيفاش راكم؟؟ داق خاطركم شوية؟؟ راني جيتكم بالجديد... .  . À l'occasionde la journée de la femme, Djawla 3assimiya a la joieet le plaisirde vous inviterPlusa célébrer... . عرس القاعة . Qui Aura Lieule Mardi 08 Mars à 14hà la Casbah . Pour toutes réservationsveuillezappeler le 0556 68 92 48. .  . Merhba bikoummesdameset mesdemoiselles .  Djawla_3assimiya .  Kenza .  . MAR., 8 MARS . عرس القاعة مع جولة عاصمية بمناسبة يوم المرأة", HABIB ADVENTURE 
199,202,"MAR., 8 MARS . عرس القاعة مع جولة عاصمية بمناسبة يوم المرأة", HABIB ADVENTURE 
200,203,صباح الخيرعليكم يا أحبابيو أحباب البهجة الدزايروالقصبة العالية . نهاركم مبروكإن شاء اللهو جمعة مباركةعلى الجميع . N'oubliez pasnotre visite guidéede la Casbahpour samedi 19 Février inchallah merhba .  . Plus Pour réservéil suffit d'envoyer les noms des participants par SMSau numéro0556 68 92 48 et vous recevrez un SMS de confirmationavec l'heureet l'endroitdu regroupement .  .  كنزة .  جولة_عاصمية, HABIB ADVENTURE 
201,204,"SAM., 19 FÉVR. . Visite Guidée de la Casbah avec Djawla 3assimiya", HABIB ADVENTURE 
202,205,صباح الخيرو الرباحعليكم يا أحبابيو أحباب جولة عاصمية .  . نهاركم مبروكو جمعة مباركةإن شاء الله .  كنزة .  جولة_عاصمية, HABIB ADVENTURE 
203,206,صباح الخيرو الرباحعليكم يا أحبابيو أحباب جولة عاصمية .  . نهاركم مبروكإن شاء الله . Sur la photo: النح .  كنزة .  جولة_عاصمية, HABIB ADVENTURE 
204,207,"Bonjourmes chers Amis Djawlistes . Je partage avec vous le reportageavec nos amis de la ChaineSKY NEWS ARABIC une journée dingueau sens propre du mot .  . Pour plus d'informationssur nos visitesil suffit d'appelerle0556 68 92 48 merhba .  .  djawla_3assimiya .  kenza .  . ‎Sky News Arabia سكاي نيوز عربية‎ . 21 janvier, 14:00 · .  . حي القصبة في  الجزائر يجسد قصة دولة وتاريخ ثورة  الصباح", HABIB ADVENTURE 
205,208,صباح الخيرو الرباحعليكم يا أحبابيو أحباب جولة عاصمية .  . نهاركم مبروكإن شاء الله .  كنزة .  جولة_عاصمية, HABIB ADVENTURE 
206,209,"Bonsoirmes très chers amis  Djawlistesj'espère Que Vous allez bien.. .  . On partage avec vous les photosde notre maaaagnifiiique visiteavec un déjeuner chez notre ami Badisplus un dessertavec lesPlus gateaux(helwet tabaa)de Bahiaune visiteféminine, pleine de découverte, d'histoire, rires, ambiance, et de rencontres avec nos nouvelles amies nassila²,de photoooossurtoutmerhba.. .  . Si vous souhaitez être parmi nous pour vivre de nouvellesaventurestoujours plus bellesavec Djawla 3assimiyarestez branchersur notre page pour recevoir nos événements .  . Pour toute réservationou informations, il suffit d'appelerle numéro0556 68 92 48 .  .  bienvenu .  djawla_3assimiya .  kenzA", HABIB ADVENTURE 
207,210,صباح الخيرعليكم يا أحبابيو أحباب البهجة الدزايروالقصبة العالية . نهاركم مبروكإن شاء اللهو جمعة مباركةعلى الجميع . N'oubliez pasnotre visite guidéede la Casbahpour demain inchallah merhba .  . PourPlus réservéil suffit d'envoyer les noms des participants par SMSau numéro0556 68 92 48 et vous recevrez un SMS de confirmationavec l'heureet l'endroitdu regroupement .  .  كنزة .  جولة_عاصمية, HABIB ADVENTURE 
208,211,"Bonjourmes très chers amiiiis..j'espère que vous allez bien .  . On continu avec nos aventures, Et précisément notre visite guidéespéciale""YENNAYER"".. .  . Après une journée de visitedans laCasbah, EntrePlus histoire, rigoladeset serdines&fritesqui passe très vite, On se dirigechez khalti fatihaqui nous attendais..début de soiréeavec ambiance conviviale, un accueilen tenue traditionnelleà la sauce Djawla .  . Passons au dînermmmmmmmm..un berkoukestrop boncomme à son habitude et une rechtasucculente accompagné d'un pian traditionnelkhalti fatihas'est surpassé..hop !! Place aux Bouqalatesavec ses dameset ses messieurs, et Biensure on n'oublie pas le TREZavec notre héro cette année RACIMaccompagné de sa petite soeur ciciiiiiiqui on égayénotre très belle soiréeanimépar notre orchestre..une magnifiquejournéeet soiréeavec de très belles rencontres .  . On vous partage les photoset on vous dis à très bientôtmes amis pour de nouvelles aventurestoujours plus belleavec  Djawla_3assimiya .  .  kenzA", HABIB ADVENTURE 
209,212,Excellente année2972à vous tous mes chers amis Djawlistes .  .   .  .   .  . AMERBOUHinchallah .  .  Djawla_3assimiya  .  kenza, HABIB ADVENTURE 
210,213,"صباح الخير عليكم يا أحبابيو أحباب القصبةو جولة عاصمية . Bonjourmes très chers amis  Djawlistes .  . On vous rappellenotre visite guidéespéciale YENNAYER avec un diner traditionnelchez  khalti_fatihadePlus mercredi 12 Janvierinchallah, avec une Qaada 3assimiyaanimé par notre orchestre Chaabi, des tenue traditionnellespour prendre la poseet pleins d'autres surprisesvous attendent...venez découvrirla Casbah, Notre patrimoineet notre histoire.. . N'oubliezpas de vous inscrireen appelant le numéro0556 68 92 48 pour la confirmationde l'heureet l'endroitdu regroupement inchallahvous serez avec nous merhba à tous . نهاركم مبروك . Bonne journée à tous .  .  Djawla_3assimiya .  kenzA", HABIB ADVENTURE 
211,214,"SAM., 15 JANV. . Visite Guidée de la Casbah avec Djawla 3assimiya", HABIB ADVENTURE 
212,215,"صباح الخير عليكم يا أحبابيو أحباب القصبةو جولة عاصمية . Bonjourmes très chers amis  Djawlistes .  . On vous rappellenotre visite guidéespéciale YENNAYER avec un diner traditionnelchez  khalti_fatihadePlus mercredi 12 Janvierinchallah, avec une Qaada 3assimiyaanimé par notre orchestre Chaabi, des tenue traditionnellespour prendre la poseet pleins d'autres surprisesvous attendent...venez découvrirla Casbah, Notre patrimoineet notre histoire.. . N'oubliezpas de vous inscrireen appelant le numéro0556 68 92 48 pour la confirmationde l'heureet l'endroitdu regroupement inchallah . il ne reste pas beaucoupde placesmes amis vu le nombre limité . نهاركم مبروك . Bonne journée à tous .  .  Djawla_3assimiya .  kenzA .  . MER., 12 JANV. . Qaada 3assimiya pour YENNAYER et Visite guidée avec Djawla 3assimiya", HABIB ADVENTURE 
213,216,"صباح الخير عليكم يا أحبابيو أحباب القصبةو جولة عاصمية . Bonjourmes très chers amis  Djawlistes .  . On vous rappellenotre visite guidéespéciale YENNAYER avec un diner traditionnelchez  khalti_fatihadePlus mercredi 12 Janvierinchallah, avec une Qaada 3assimiyaanimé par notre orchestre Chaabi, des tenue traditionnellespour prendre la poseet pleins d'autres surprisesvous attendent...venez découvrirla Casbah, Notre patrimoineet notre histoire.. . N'oubliezpas de vous inscrireen appelant le numéro0556 68 92 48 pour la confirmationde l'heureet l'endroitdu regroupement inchallahvous serez avec nous merhba à tous . نهاركم مبروك . Bonne journée à tous .  .  Djawla_3assimiya .  kenzA", HABIB ADVENTURE 
214,217,"Bonsoirmes très chers amiiiis Djawlistes .  . Je partage avec vous les photosde notre reprise, une très bellevisite aujourd'hui avec tout nos nouveaux amis..une magnifiquevisites avec de magnifiques personnesPlus..il a fait beau, la bonne humeurétait au rendez vous, un déjeunerchez notre ami djamel  Bouiboui_chic_à_parisun service rapiiiiideeet suuuurtout trés propreune visite forte en riresavec tout nos amis ..une journée de foliepleine de surprise . Sa faisait longtemps⏳que je n'avait pas fait de visitecomme celle ci.. .  . À très bientôtmes amis pour de nouvelles aventuresinchallahtoujours plus belleavec  Djawla_3assimiyarester branchersur notre page pour recevoirnos événements, pour plus d'informationsle numéro0556 68 92 48 reste a votre disposition..merhba .  .  Djawla_3assimiya .  kenzA", HABIB ADVENTURE 
215,218,"صباح الخيرعليكم يا أحبابيو أحباب البهجة الدزايروالقصبة العالية . نهاركم مبروكإن شاء اللهو جمعة مباركةعلى الجميع . N'oubliez pasnotre visite guidéede la Casbahet soiréespecial Yennayerpour mercredi 12Plus janvierinchallah merhba .  . Pour réservéil suffit d'envoyer les noms des participants par SMSau numéro0556 68 92 48 et vous recevrez un SMS de confirmationavec l'heureet l'endroitdu regroupement, attentionmes les places sont limitées .  .  كنزة .  جولة_عاصمية", HABIB ADVENTURE 
216,219,"YENNAYER à la CASBAH avec Djawla 3assmiya .  . Le mercredi 13 JanvierUne visite de la Casbahtoute la journéeaprès un dinerchez khalti Fatiha, une Qaada3assimiya et un OrchestreChaabi tout ça àPlus 3500dapar personneil est possibled'assister juste au diner et la Qaadaà partir de 18hau tarif de 2500da par personne .  . Pour plus d'informationsveuillez appelerle numero0556 68 92 48 .  . Merhbaysswen .  kenza .  Djawla_3assimiya ", HABIB ADVENTURE 
217,220,"صباح الخير عليكم يا أحبابيو أحباب القصبةو جولة عاصمية . Bonjourmes très chers amis  Djawlistes .  . On vous rappellenotre visite guidéespéciale YENNAYER avec un diner traditionnelchez  khalti_fatihadePlus mercredi 12 Janvierinchallah, avec une Qaada 3assimiyaanimé par notre orchestre Chaabi, des tenue traditionnellespour prendre la poseet pleins d'autres surprisesvous attendent...venez découvrirla Casbah, Notre patrimoineet notre histoire.. . N'oubliezpas de vous inscrireen appelant le numéro0556 68 92 48 pour la confirmationde l'heureet l'endroitdu regroupement inchallahvous serez avec nous merhba à tous . https://www.facebook.com/332734237128460/posts/1433569177044955/ . نهاركم مبروك . Bonne journée à tous .  .  Djawla_3assimiya .  kenzA", HABIB ADVENTURE 
218,221,Bonsoirmes chers Amis Djawlistes . Je partage avec vous les photosde ma journéevisite guidéeavec nos amisFrançais..puis un tournageavec nos amis de la ChaineSKY NEWS ARABIC une journée dingueau sensPlus propre du mot .  . Prochaine visitede la Casbahpour samediinchallah pour s'inscrireil suffit d'appelerle0556 68 92 48 merhba .  .  djawla_3assimiya .  kenza, HABIB ADVENTURE 
219,222,"Bonsoirmes très cheramis Djawlistes.. .  . On vous donne rendez vousce samedi 08 Janvierinchallahpour une visite guidéedela Casbah .  . Pour réservéil suffit juste d'appeler le numéro0556 68 92 48 .  . Merhba bikoum inchallah .  .  kenzA .  djawla_3assimiya .  . SAM., 8 JANV. . Visite Guidée De La Casbah avec Djawla 3assimiya", HABIB ADVENTURE 
220,223,"SAM., 8 JANV. . Visite Guidée De La Casbah avec Djawla 3assimiya", HABIB ADVENTURE 
221,224,"Bonsoirmes très chers amiiiiiis  Djawlistesj'espère que vous allez bien!! .  . Djawla 3assimiyaest de retouravec une visite guidée de la casbahpour le mercredi 12 Janvier 2022plspéciaaaaaale pour fêter PlusYENNAYERavec nousen famille, on vous attends pour passé une journéeainsi qu'une soiréedes plus merveilleuseinchallahavec Djawla 3assimiyaEt Khalti Fatiha... .  . Pour vous inscrireil suffit juste d'envoyer un smsavec les noms des participants au numéro0556 68 92 48 et vous recevrez un SMSde confirmation avec l'heureet l'endroitdu regroupement inchallah..merhba bikoum, On vous attendspour de nouvelles aventureset une ambiancecomme on vous a habitué . faites vite les places sont limitées .  .  kenzA", HABIB ADVENTURE 
222,225,BONNE ANNÉE . Mes chers amis Djawlistes . Happy New Year . عام سعيد, HABIB ADVENTURE 
223,226,صباح الخيرو الرباحعليكم يا أحبابيو أحباب جولة عاصمية .  . نهاركم مبروكإن شاء الله .  كنزة .  جولة_عاصمية, HABIB ADVENTURE 
224,227,"Bonsoirmes très chers amis  Djawlistesj'espère Que Vous allez bien.. .  . On partage avec vous les photosde notre maaaagnifiiique visitela derrièrevisitede l'année 2021, une visite découvertede la  PlusCasbah, histoire, rires, ambiance, rencontres avec nos amis une belle et grande familleet un déjeunerchez khalti fatihaaaaune rechtamagnifiquement bonnecomme à son Habittude au Topon a bienclôturernotre année .  . Si vous souhaitez être parmi nous pour vivre de nouvellesaventurestoujours plus bellesavec Djawla 3assimiya, Nos visites guidéessont disponibles les jours de semaineaussi..pour toute réservationou informations, il suffit d'appelerle numéro0556 68 92 48 merhba .  .  Djawla_3assimiya .  kenzA", HABIB ADVENTURE 
225,228,"Bonsoirmes très chers amis  Djawlistesj'espère Que Vous allez bien.. .  . On partage avec vous les photosde notre maaaagnifiiique visiteavec un déjeuner chez notre ami Le Repéreplus un dessert avec lesPlus meilleuresgrands foursd'algerune visiteféminine, pleine de découverte, d'histoire, rires, ambiance, et de rencontres avec nos nouvelles amies, merhba.. .  . Si vous souhaitez être parmi nous pour vivre de nouvellesaventurestoujours plus bellesavec Djawla 3assimiyarestez branchersur notre page pour recevoir nos événements .  . Pour toute réservationou informations, il suffit d'appelerle numéro0556 68 92 48 .  .  bienvenu .  djawla_3assimiya .  kenzA", HABIB ADVENTURE 
226,229,"MER., 12 JANV. . Qaada 3assimiya pour YENNAYER et Visite guidée avec Djawla 3assimiya", HABIB ADVENTURE 
227,230,"Bonsoirmes très chers amiiiiiis  Djawlistesj'espère que vous allez bien!! .  . Djawla 3assimiyaest de retouravec une visiteguidée de la Casbahet une QAADA 3ASSIMIYAspéciaaaaaale pour fêter YENNAYERavecPlus nousen famille, une soiréedes plus merveilleuseinchallahavec Djawla 3assimiyaEt Khalti Fatiha... .  . Pour vous inscrireil suffit juste d'envoyer un smsavec les noms des participants au numéro0556 68 92 48 et vous recevrez un SMSde confirmation avec l'heureet l'endroitdu regroupement inchallah..merhba bikoum, On vous attendspour de nouvelles aventureset une ambiancecomme on vous a habitué . faites vite les places sont limitées .  .  kenzA", HABIB ADVENTURE 
228,231,"Bonsoirmes très chers amis  Djawlistesj'espère Que Vous allez bien.. .  . On partage avec vous les photosde notre maaaagnifiiique visite, une visite découvertede la  Casbah, histoire, rires, ambiance,Plus rencontres avec nos amis une belle et grande familleet un déjeuner Poisson, Kebda..kheletnahacomme d'Habittude chez notre amiLe Repère au Top .  . Si vous souhaitez être parmi nous pour vivre de nouvellesaventurestoujours plus bellesavec Djawla 3assimiya, Nos visites guidéessont disponibles les jours de semaineaussi..pour toute réservationou informations, il suffit d'appelerle numéro0556 68 92 48 merhba .  .  Djawla_3assimiya .  kenzA", HABIB ADVENTURE 
229,232,"Bonsoirmes très chers amiiiis Djawlistes .  . Je partage avec vous les photosde notre reprise, une très bellevisite aujourd'hui avec tout nos nouveaux amis..une magnifiquevisites avec de magnifiques personnesPlus..il a fait beau, la bonne humeurétait au rendez vous, un déjeunerchez notre ami Badis  khlass_serdineun service rapiiiiideeet suuuurtout trés propreune visite forte en riresavec tout nos amis ..une journée de foliepleine de surprise . Sa faisait longtemps⏳que je n'avait pas fait de visitecomme celle ci.. .  . À très bientôtmes amis pour de nouvelles aventuresinchallahtoujours plus belleavec  Djawla_3assimiyarester branchersur notre page pour recevoirnos événements, pour plus d'informationsle numéro0556 68 92 48 reste a votre disposition..merhba .  .  Djawla_3assimiya .  kenzA", HABIB ADVENTURE 
230,233,صباح الخيرعليكم يا أحبابيو أحباب البهجة الدزايروالقصبة العالية . نهاركم مبروكإن شاء اللهو جمعة مباركةعلى الجميع . N'oubliez pasnotre visite guidéede la Casbahpour demain inchallah merhba .  . PourPlus réservéil suffit d'envoyer les noms des participants par SMSau numéro0556 68 92 48 et vous recevrez un SMS de confirmationavec l'heureet l'endroitdu regroupement .  .  كنزة .  جولة_عاصمية, HABIB ADVENTURE 
231,234,"Bonsoirmes très chers amis  Djawlistesj'espère Que Vous allez bien.. .  . On partage avec vous les photosde nos maaaagnifiiiques visites, des visites pleines de découverte, d'histoire, rires, ambiancePlus, et suuurtout de gâteau encore une fois, Djawla 3assimiya / جولة عاصمية est soliciter pour fêterun anniversaire à la Casbah . JOYEUX ANNIVERSAIRERawane la39ouba l 80ansinchallah lahna inchallah..mercià tous d'avoir participer a cette visiteet a cet anniversairesurpriiiise, merhba bikoum.. . Et avec nos amis d'aujourd'hui, une magnifiquevisite avec un bon déjeunerchez le Repére, merhba b nos nouveaux amiset merhba b nos habitués.. .  . Si vous souhaitez être parmi nous pour vivre de nouvellesaventurestoujours plus bellesavec Djawla 3assimiyarestez branchersur notre page pour recevoir nos événements .  . Pour toute réservationou informations, il suffit d'appelerle numéro0556 68 92 48 .  .  bienvenu .  djawla_3assimiya .  kenzA", HABIB ADVENTURE 
232,235,"Bonsoirmes très chers amis  Djawlistesj'espère Que Vous allez bien.. .  . On partage avec vous les photosde notre maaaagnifiiique visiteavec un déjeuner chez notre ami Le Repéreplus un dessert avec lesPlus meilleuresgrands foursd'algerune visiteféminine avec nos amiEs de  Batna et nos amiEs de  Boussaada, une visitepleine de découverte, d'histoire, rires, ambiance, et de rencontres avec nos nouvelles amies, merhba.. .  . Si vous souhaitez être parmi nous pour vivre de nouvellesaventurestoujours plus bellesavec Djawla 3assimiyarestez branchersur notre page pour recevoir nos événements .  . Pour toute réservationou informations, il suffit d'appelerle numéro0556 68 92 48 .  .  bienvenu .  djawla_3assimiya .  kenzA", HABIB ADVENTURE 
233,236,"Bonsoirmes très chers amis  Djawlistesj'espère Que Vous allez bien.. .  . On partage avec vous les photosde nos maaaagnifiiique visitesavec un déjeuner chez khalti fatihaune rechta super bonne, pleinePlus de découverte, d'histoire, rires, ambiance .  . Si vous souhaitez être parmi nous pour vivre de nouvellesaventurestoujours plus bellesavec Djawla 3assimiyarestez branchersur notre page pour recevoir nos événements .  . Pour toute réservationou informations, il suffit d'appelerle numéro0556 68 92 48 .  .  bienvenu .  djawla_3assimiya .  kenzA", HABIB ADVENTURE 
234,237,"SAM., 25 DÉC. 2021 . Visite Guidée De La Casbah avec Djawla 3assimiya", HABIB ADVENTURE 
235,238,صباح الخيرو الرباحعليكم يا أحبابيو أحباب جولة عاصمية .  . نهاركم مبروكإن شاء الله .  كنزة .  جولة_عاصمية, HABIB ADVENTURE 
